Supplier Code,Product ID #,Product Name,Product Description,Imprint Size,Color Name,Color Value,Inventory Level,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code
Ariel,ALB-AB22,AeroLOFT™ Anywhere Belt Bag,"The AeroLOFT™ Anywhere Belt Bag is a unisex, multi-functional bag designed for an active, on-the-go lifestyle. Constructed of water-resistant 290T polyester fabric, it features an easy-access zippered main compartment with 2 inside mesh pockets and a backside zippered side stash pocket. The sleek, compact design is perfect for phone, keys, and wallet, and can be worn as a cross-body, shoulder pack, fanny pack, or waist pack. Metallic grey performance polyester interior lining is water and puncture resistant. Contrast lining makes it brighter, easy to locate inside contents.  Adjustable size belt strap with easy-snap buckle extends to 44”.",,,,,40,159,8.9,C,160,479,8.45,C,480,1039,8.15,C,1040,1999,7.8,C,2000,4000,7.5,C
Ariel,ALB-AB22BK,AeroLOFT Anywhere Belt Bag Jet Black,Jet Black,#2D2926,2794,,,,,,,,,,,,,,,,,,,,
Ariel,ALB-AB22BU,AeroLOFT Anywhere Belt Bag Burgundy,Burgundy,#6A2C3E,1623,,,,,,,,,,,,,,,,,,,,
Ariel,ALB-AB22CH,AeroLOFT Anywhere Belt Bag Chocolate,Chocolate,#473729,2737,,,,,,,,,,,,,,,,,,,,
Ariel,ALB-AB22NB,AeroLOFT Anywhere Belt Bag Navy Blue,Navy Blue,#151F6D,6131,,,,,,,,,,,,,,,,,,,,
Ariel,ALB-AB22PK,AeroLOFT Anywhere Belt Bag Pink,Pink,#DC8699,1592,,,,,,,,,,,,,,,,,,,,
Ariel,ALB-AB22SG,AeroLOFT Anywhere Belt Bag Silver Gray,Silver Gray,#C1C6C8,10149,,,,,,,,,,,,,,,,,,,,
Ariel,ALB-AB22WH,AeroLOFT Anywhere Belt Bag White,White,#FFFAFA,0,,,,,,,,,,,,,,,,,,,,
Ariel,ALB-BB23,AeroLOFT™ Business First Backpack,"Travel made better with our AeroLOFT™ Business First Backpack! Constructed of Jet Black performance polyester fabric that is lightweight, water repellent and super durable. Features padded safety pockets in the front with carabiners and mesh dividers, inside laptop pocket, expandable side pockets and comfort padded shoulder straps. Roll-aboard belt on back.",,,,,20,99,28.25,C,100,239,26.6,C,240,499,25.4,C,500,999,24.6,C,1000,2000,23.75,C
Ariel,ALB-BB23BK,AeroLOFT Business First Backpack Black,Black,#2D2926,3834,,,,,,,,,,,,,,,,,,,,
Ariel,ALB-LT21,AeroLOFT™ Laptop and Tablet Organizer Bag,"Travel made better with our AeroLOFT™ Laptop and Tablet Organizer Bag! Features padded interior laptop compartment that fits laptops and tablets up to 14 inches, zippered front pocket with interior carabiner for keys, hidden zippered side-entry safety pocket and zippered back pocket, perfect for documents and notepads. Easy to carry with comfort padded shoulder strap and roll-aboard belt. Black performance 272D nylon fabric is lightweight, water repellent and supper durable.",,,,,20,99,27.92,C,100,239,26.58,C,240,499,25.57,C,500,999,24.82,C,1000,2000,24.1,C
Ariel,ALB-LT21BK,AeroLOFT Laptop and Tablet Organizer Bag Black,Black,#2D2926,2030,,,,,,,,,,,,,,,,,,,,
Ariel,ALB-PO22,AeroLOFT™ Jet Black 4- Pocket Zip Organizer,"The must-have nylon travel companion! AeroLOFT™ Jet Black 4- Pocket Zip Organizer comes with three zipper pockets on the front, one zipper on the back, and a handy loop on the top to attach to luggage or another bag. Fits in backpacks, briefcases, or handbags. Great for storing cards, keys, chargers, cables, phones, travel documents and more!",,,,,50,199,5.7,C,200,499,5.45,C,500,999,5.2,C,1000,1999,5.05,C,2000,4000,4.95,C
Ariel,ALB-PO22BK,AeroLOFT Jet Black 4- Pocket Zip Organizer Black,Black,#2D2926,20631,,,,,,,,,,,,,,,,,,,,
Ariel,ALB-SK22,AeroLOFT™ Stash Key Wallet,"The must-have polyester travel companion! AeroLOFT™ Stash Key Wallet comes in a variety of bright colors with 2-in-1 keyring-wallet that is perfectly sized for your pocket and easy for quick access. Features attached double loop keyring that tucks inside front panel, if preferred. Zippered main compartment for ID, cash, credit cards or spare change. ALB-SW22",,,,,100,249,2.85,C,250,499,2.7,C,500,999,2.65,C,1000,2499,2.6,C,2500,5000,2.55,C
Ariel,ALB-SK22BK,AeroLOFT Stash Key Wallet Jet Black,Jet Black,#2D2926,0,,,,,,,,,,,,,,,,,,,,
Ariel,ALB-SK22OR,AeroLOFT Stash Key Wallet Neon Orange,Neon Orange,,1514,,,,,,,,,,,,,,,,,,,,
Ariel,ALB-SK22PK,AeroLOFT Stash Key Wallet Pink,Pink,,1004,,,,,,,,,,,,,,,,,,,,
