Supplier Code,Product ID #,Product Name,Product Description,Imprint Size,Color Name,Color Value,Inventory Level,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code
Hub,101,Aeropure Stylus Pen,"For the ultimate promo pen package, look no further. The Aeropure features a
citrus-scented antibacterial sanitizer spray with 62% alcohol and functional
stylus to allow you to operate touch screens hands-free and clean your hands
when you must touch a surface. With a large imprint space front and center, your
brand is sure to stand out. Pen is operated by a twist-action retraction and
comes through the stylus tip when extended.
Patent: US Pat. 8,847,930 & 9,092,077
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk screen: 2"" W x 0.25"" H Barrel
Tip Type: Ball Point
Mechanism: Twist Action
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=101/]
Standard Packaging: Bulk
Tags: Germs, Disinfectant, Hygiene, Washing, Hand Rub, Rub, Alcohol-Based,
Decontaminate, Effective, Plastic, Tech, Accessory, Phone, Tablet, Show, Desk,
Office, College, Writing, Study, High School",,,,,250,499,2.49,A,500,999,2.28,A,1000,4999,2.07,A,5000,10000,1.87,A
Hub,101BLUE/BLK-WEB,Blue with Black Ink,Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,101RED/BLK-WEB,Red with Black Ink,Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,101WHT/BLK-WEB,White with Black Ink,White with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,101BLK/BLK-WEB,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,103,Aeropure Executive Pen,"A giftable executive metal pen, offering a citrus-scented antibacterial
sanitizer spray with 62% alcohol. Features a functional stylus for a hands-free
experience with touch screens and a strong twist-action retraction for
durability.
US Pat. 8,847,930 & 9,092,077
Patent: US Pat. 8,847,930 & 9,092,077
Material: Aluminum
Standard Decoration Includes: Laser Engraved on Barrel
All Available Decoration Options:
Lasered: 1.5"" W x 0.1875"" H
Straight Line Copy: Yes
Tip Type: Ball Point
Mechanism: Twist Action
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=103/]
Standard Packaging: Bulk
Tags: Popular, Metal, Gift, Desk, Office, Executive, Advertisement, College,
Grade, Writing, Merchandise, Study, High School, University, Essay, List, Home,
Pen, Classic, Trade Show",,,,,100,499,3.97,A,500,999,3.64,A,1000,4999,3.31,A,5000,10000,2.98,A
Hub,103BLUE/BLK-WEB,Blue with Black Ink,Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,103GRN/BLK-WEB,Green with Black Ink,Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,103GUN/BLK-WEB,Gunmetal with Black Ink,Gunmetal with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,1202R,Round Golf Pencil,"A country club favorite. Round quality # 2 golf pencil. Packaged in an
attractive 2 gross display box. Pencils come sharpened. Generous imprint area.
Straight line of Helvetica type. Available foil imprint colors silver, black,
white, and gold.
Material: Wood
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.5"" W x 0.88"" H Barrel
Tip Type: Graphite
Standard Packaging: Bulk
Tags: Wood, School, test, popular, golf, gambling, lotto, lottery,
advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, trade show, #2",,,,,1008,2591,0.22,A,2592,5039,0.21,A,5040,10079,0.2,A,10080,20160,0.19,A
Hub,1202R-BLK,Black,Black,,0,,,,,,,,,,,,,,,,,,,,
Hub,1202R-BLUE,Blue,Blue,,0,,,,,,,,,,,,,,,,,,,,
Hub,1202R-GRN,Green,Green,,0,,,,,,,,,,,,,,,,,,,,
Hub,1202R-RED,Red,Red,,0,,,,,,,,,,,,,,,,,,,,
Hub,1202R-WHT,White,White,,0,,,,,,,,,,,,,,,,,,,,
Hub,125,Liquid Highlighter,"Liquid highlighter. The highest quality nib ensures a smooth ink lay-down and
easy highlighting. Quick drying and odorless neon colors with a large imprint
area. Ink matches pen color.
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.73"" W x 0.88"" H Barrel
Tip Type: Chisel
Mechanism: Pull Cap
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=125/]
Standard Packaging: Bulk
Tags: plastic, cheap, popular, highlighter, high lighter, tradeshow, trade,
show, desk, office, advertisement, college, grade, writing, merchandise, study,
high school, university, essay, list, home",,,,,250,499,1.21,A,500,999,1.15,A,1000,4999,1.11,A,5000,10000,1.09,A
Hub,125HIGRN,Translucent Lime Green with Green Ink,Translucent Lime Green with Green Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,125HIYEL,Translucent Yellow with Yellow Ink,Translucent Yellow with Yellow Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,208,Valet Pen,"Affordable, slim and stylish. Twist action retractable in rich corporate colors
with gold accents.
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.75"" W x 0.75"" H Barrel
Tip Type: Ballpoint
Mechanism: Twist
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=208/]
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,300,499,0.5,A,500,999,0.48,A,1000,4999,0.46,A,5000,10000,0.43,A
Hub,208BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,208BLUE/BLK,Royal Blue with Black Ink,Royal Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,208WHT/BLK,White with Black Ink,White with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,215,Pixel Stick Pen,"This economical pull cap pen is perfect for promotions on a budget. It comes in
classic color options and offers a generous imprint area for your logo to stand
out. Plus, it features a ridged grip with ultrasmooth ink for writing comfort.
Material: Plastic
Standard Decoration Includes: 1-C Silk Screen: 2"" X 3/4"" On Barrel
All Available Decoration Options:
Silk Screen: 2"" W x 0.75"" H Barrel
Straight Line Copy: No
Tip Type: Ball Point
Mechanism: Pull Cap
Standard Packaging: Bulk
Tags: Plastic, Cost Effective, Popular, Pen, Tradeshow, Trade, Show, Desk,
Office, Advertisement, College, Grade, Writing, Merchandise, Study, High School,
University, Essay, List, Home",,,,,250,499,0.49,A,500,999,0.45,A,1000,4999,0.41,A,5000,10000,0.37,A
